id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
925339,2008-07-14,2008-07-14,,UTC,false,56993,anna_christian,2009-07-05 12:00:00 UTC,2017-01-13 03:00:31 UTC,casual,CC-BY,http://naturewatch.org.nz/observations/54886,,,,,false,0,0,false,,NA,-40.3830068179,175.6269910625,,,,false,,,Eurasian Blackbird,Turdus merula,Blackbird,Animalia,12716,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Turdidae,,,,,Turdus,,Turdus merula,,,,
925340,2008-07-14,2008-07-14,,UTC,,56993,anna_christian,2009-07-05 12:00:00 UTC,2016-06-23 16:06:21 UTC,casual,CC-BY,http://naturewatch.org.nz/observations/54887,,,,,false,0,0,false,,NA,-40.3830068179,175.6269910625,,,,false,,,,Zosterops lateralis lateralis,Silvereye,Aves,413547,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Zosteropidae,,,,,Zosterops,,Zosterops lateralis,,Zosterops lateralis lateralis,,
925341,2008-07-14,2008-07-14,,UTC,false,56993,anna_christian,2009-07-05 12:00:00 UTC,2017-01-13 02:45:36 UTC,casual,CC-BY,http://naturewatch.org.nz/observations/54888,,,,,false,0,0,false,,NA,-40.3830068179,175.6269910625,,,,false,,,Yellowhammer,Emberiza citrinella,Yellowhammer,Aves,9195,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Emberizidae,,,,,Emberiza,,Emberiza citrinella,,,,
925342,2008-07-14,2008-07-14,,UTC,false,56993,anna_christian,2009-07-05 12:00:00 UTC,2017-01-13 02:45:36 UTC,casual,CC-BY,http://naturewatch.org.nz/observations/54889,,,,,false,0,0,false,,NA,-40.3830068179,175.6269910625,,,,false,,,European Goldfinch,Carduelis carduelis,Goldfinch,Aves,9398,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Fringillidae,,,,,Carduelis,,Carduelis carduelis,,,,
925343,2008-07-14,2008-07-14,,UTC,false,56993,anna_christian,2009-07-05 12:00:00 UTC,2017-01-13 02:15:35 UTC,casual,CC-BY,http://naturewatch.org.nz/observations/54890,,,,,false,0,0,false,,NA,-40.3830068179,175.6269910625,,,,false,,,House Sparrow,Passer domesticus,House Sparrow,Aves,13858,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passeridae,,,,,Passer,,Passer domesticus,,,,
925344,2008-07-14,2008-07-14,,UTC,false,56993,anna_christian,2009-07-05 12:00:00 UTC,2017-01-13 02:30:40 UTC,casual,CC-BY,http://naturewatch.org.nz/observations/54891,,,,,false,0,0,false,,NA,-40.3830068179,175.6269910625,,,,false,,,European Starling,Sturnus vulgaris,Starling,Animalia,14850,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Sturnidae,,,,,Sturnus,,Sturnus vulgaris,,,,
925355,2008-07-14,2008-07-14,,UTC,,56996,ray_christmas,2009-07-05 12:00:00 UTC,2016-06-23 16:06:23 UTC,casual,CC-BY,http://naturewatch.org.nz/observations/54905,,,,Entered by Emma Woods ,false,0,0,false,,NA,-40.3842746704,175.6322350758,,,,false,,,,Hemiphaga novaeseelandiae,Kereru,Aves,204520,Animalia,Chordata,Vertebrata,,Aves,,,Columbiformes,,,Columbidae,,,,,Hemiphaga,,Hemiphaga novaeseelandiae,,,,
925356,2008-07-14,2008-07-14,,UTC,,56996,ray_christmas,2009-07-05 12:00:00 UTC,2016-06-23 16:06:23 UTC,casual,CC-BY,http://naturewatch.org.nz/observations/54906,,,,Entered by Emma Woods ,false,0,0,false,,NA,-40.3842746704,175.6322350758,,,,false,,,,Chrysococcyx lucidus lucidus,Shining Cuckoo,Aves,413593,Animalia,Chordata,Vertebrata,,Aves,,,Cuculiformes,,,Cuculidae,,,,,Chrysococcyx,,Chrysococcyx lucidus,,Chrysococcyx lucidus lucidus,,
925357,2008-07-14,2008-07-14,,UTC,false,56996,ray_christmas,2009-07-05 12:00:00 UTC,2017-01-13 02:30:41 UTC,casual,CC-BY,http://naturewatch.org.nz/observations/54907,,,,Entered by Emma Woods ,false,0,0,false,,NA,-40.3842746704,175.6322350758,,,,false,,,Dunnock,Prunella modularis,Dunnock,Aves,13988,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Prunellidae,,,,,Prunella,,Prunella modularis,,,,
925358,2008-07-14,2008-07-14,,UTC,false,56996,ray_christmas,2009-07-05 12:00:00 UTC,2017-01-13 02:30:41 UTC,casual,CC-BY,http://naturewatch.org.nz/observations/54908,,,,Entered by Emma Woods ,false,0,0,false,,NA,-40.3842746704,175.6322350758,,,,false,,,Eurasian Blackbird,Turdus merula,Blackbird,Animalia,12716,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Turdidae,,,,,Turdus,,Turdus merula,,,,
925359,2008-07-14,2008-07-14,,UTC,false,56996,ray_christmas,2009-07-05 12:00:00 UTC,2017-01-13 02:30:41 UTC,casual,CC-BY,http://naturewatch.org.nz/observations/54909,,,,Entered by Emma Woods ,false,0,0,false,,NA,-40.3842746704,175.6322350758,,,,false,,,Song Thrush,Turdus philomelos,Song Thrush,Animalia,12748,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Turdidae,,,,,Turdus,,Turdus philomelos,,,,
